ID [],Local [],Irradiance [W/m^2],T_ambient [Degrees Celsius],T_ground [Degrees Celsius],Wind [m/s],Cloud [okta],Pressure [Pa],Rain [mm/hr],Diffuse [W/m^2],Direct [W/m^2],Elevation [Degrees],Azimuth [Degrees]
1,0000-01-01 00:30:00,0.01,3.384,1.97,4.821,5.705,101556.821,0.03,0.01,0,-59.798,20.675
2,0000-01-01 01:30:00,0.005,3.349,1.907,4.795,5.364,101561.383,0.084,0.005,0,-54.787,44.647
3,0000-01-01 02:30:00,0.01,3.165,1.846,4.765,5.383,101553.274,0.143,0.01,0,-47.316,63.225
4,0000-01-01 03:30:00,0.028,3.182,1.801,4.971,5.746,101551.339,0.147,0.028,0,-38.614,77.931
5,0000-01-01 04:30:00,0.005,3.021,1.73,4.803,4.922,101539.682,0.1,0.005,0,-29.439,90.405
6,0000-01-01 05:30:00,0,2.897,1.711,4.987,5.065,101538.074,0.184,0,0,-20.267,101.789
7,0000-01-01 06:30:00,0,2.767,1.688,4.944,5.272,101555.582,0.061,0,0,-11.46,112.845
8,0000-01-01 07:30:00,0.37,2.781,1.652,4.821,6.138,101585.677,0.076,0.37,0,-3.348,124.108
9,0000-01-01 08:30:00,15.015,3.093,1.627,4.802,6.373,101599.912,0.083,14.083,0.932,3.722,135.965
10,0000-01-01 09:30:00,48.833,3.544,1.656,4.779,6.165,101611.986,0.077,41.486,7.347,9.371,148.64
11,0000-01-01 10:30:00,79.976,4.087,1.725,5.221,6.093,101588.169,0.109,61.465,18.511,13.219,162.153
12,0000-01-01 11:30:00,103.785,4.513,1.745,5.472,5.876,101557.054,0.094,75.786,27.998,14.952,176.268
13,0000-01-01 12:30:00,103.171,4.656,1.952,5.688,6.185,101514.702,0.029,75.907,27.265,14.408,190.519
14,0000-01-01 13:30:00,82.617,4.654,2.089,5.703,6.374,101494.103,0.075,60.168,22.449,11.641,204.396
15,0000-01-01 14:30:00,41.807,4.623,2.219,5.379,6.102,101491.984,0.096,34.128,7.68,6.893,217.526
16,0000-01-01 15:30:00,6.849,4.355,2.359,5.096,6.203,101484.703,0.204,6.386,0.464,0.524,229.798
17,0000-01-01 16:30:00,0.005,4.151,2.474,5.11,5.964,101475.947,0.225,0.005,0,-7.085,241.34
18,0000-01-01 17:30:00,0.014,4.075,2.596,5.347,6.275,101458.898,0.123,0.014,0,-15.566,252.455
19,0000-01-01 18:30:00,0.01,3.966,2.499,5.531,6.216,101450.005,0.103,0.01,0,-24.585,263.597
20,0000-01-01 19:30:00,0.005,3.934,2.421,5.653,6.285,101444.798,0.176,0.005,0,-33.803,275.395
21,0000-01-01 20:30:00,0,3.885,2.36,5.924,6.378,101435.725,0.243,0,0,-42.818,288.772
22,0000-01-01 21:30:00,0,3.754,2.303,5.737,6.498,101430.525,0.147,0,0,-51.042,305.1
23,0000-01-01 22:30:00,0,3.577,2.227,5.655,6.529,101426.654,0.237,0,0,-57.512,326.142
24,0000-01-01 23:30:00,0,3.527,2.162,5.541,6.687,101408.544,0.23,0,0,-60.793,339.21
25,0000-01-02 00:30:00,0.005,3.523,2.022,5.442,6.655,101393.798,0.243,0.005,0,-59.742,20.428
26,0000-01-02 01:30:00,0.014,3.484,1.888,5.495,6.7,101399.143,0.129,0.014,0,-54.764,44.414
27,0000-01-02 02:30:00,0.017,3.397,1.797,5.337,6.18,101394.35,0.086,0.017,0,-47.314,63.024
28,0000-01-02 03:30:00,0.01,3.317,1.655,5.326,6.632,101383.935,0.094,0.01,0,-38.622,77.756
29,0000-01-02 04:30:00,0,3.438,1.534,5.669,6.364,101381.723,0.107,0,0,-29.456,90.24
30,0000-01-02 05:30:00,0.014,3.517,1.413,5.7,6.558,101389.188,0.133,0.014,0,-20.274,101.643
31,0000-01-02 06:30:00,0.033,3.516,1.508,5.407,5.561,101406.286,0.087,0.033,0,-11.46,112.704
32,0000-01-02 07:30:00,0.124,3.479,1.596,5.176,6.093,101451.539,0.072,0.124,0.001,-3.338,123.971
33,0000-01-02 08:30:00,16.519,3.718,1.755,5.117,5.872,101481.355,0.065,15.304,1.215,3.746,135.829
34,0000-01-02 09:30:00,59.258,4.423,1.951,5.319,5.798,101508.635,0.064,43.446,15.811,9.413,148.507
35,0000-01-02 10:30:00,102.588,4.935,2.104,5.787,5.567,101520.709,0.155,66.643,35.945,13.28,162.026
36,0000-01-02 11:30:00,130.656,5.121,2.33,5.823,5.534,101512.322,0.184,80.961,49.696,15.033,176.153
37,0000-01-02 12:30:00,126.144,5.357,2.442,6.153,5.996,101505.779,0.103,78.871,47.276,14.507,190.419
38,0000-01-02 13:30:00,99.509,5.53,2.517,6.164,5.526,101505.871,0.081,62.447,37.062,11.754,204.314
39,0000-01-02 14:30:00,52.017,5.131,2.574,6.105,4.946,101533.982,0.104,37.565,14.453,7.016,217.463
40,0000-01-02 15:30:00,9.654,4.575,2.55,5.813,4.659,101567.161,0.08,8.104,1.551,0.654,229.75
41,0000-01-02 16:30:00,0.01,4.221,2.625,5.525,4.709,101595.456,0.053,0.01,0,-6.951,241.304
42,0000-01-02 17:30:00,0.017,4.128,2.727,5.339,4.59,101618.82,0.038,0.017,0,-15.43,252.428
43,0000-01-02 18:30:00,0.033,3.999,2.563,5.414,5.12,101647.115,0.07,0.033,0,-24.448,263.573
44,0000-01-02 19:30:00,0.033,3.901,2.396,5.392,4.806,101674.811,0.227,0.033,0,-33.666,275.369
45,0000-01-02 20:30:00,0.033,3.808,2.259,5.557,4.902,101696.831,0.157,0.033,0,-42.68,288.735
46,0000-01-02 21:30:00,0.033,3.66,2.1,5.264,5.093,101717.238,0.127,0.033,0,-50.908,305.035
47,0000-01-02 22:30:00,0.033,3.536,1.944,4.858,4.922,101731.937,0.211,0.033,0,-57.389,326.019
48,0000-01-02 23:30:00,0.033,3.217,1.736,4.981,4.88,101728.896,0.043,0.033,0,-60.694,339.008
49,0000-01-03 00:30:00,0.033,3.115,1.605,5.285,5.285,101713.78,0.075,0.033,0,-59.68,20.18
50,0000-01-03 01:30:00,0.038,3.201,1.568,5.394,4.677,101721.474,0.038,0.038,0,-54.734,44.176
51,0000-01-03 02:30:00,0.033,3.004,1.452,5.349,5.397,101713.64,0.007,0.033,0,-47.305,62.817
52,0000-01-03 03:30:00,0,2.877,1.289,5.018,5.033,101694.377,0.019,0,0,-38.623,77.576
53,0000-01-03 04:30:00,0,2.766,1.174,4.974,5.29,101682.119,0.073,0,0,-29.453,90.087
54,0000-01-03 05:30:00,0.014,2.745,0.975,5.119,6.335,101676.545,0.064,0.014,0,-20.274,101.492
55,0000-01-03 06:30:00,0,2.832,1.003,5.162,6.148,101678.435,0.053,0,0,-11.454,112.56
56,0000-01-03 07:30:00,0.276,2.849,1.11,5.313,6.065,101684.009,0.134,0.275,0,-3.32,123.831
57,0000-01-03 08:30:00,18.899,3.295,1.219,5.176,6.323,101682.533,0.11,15.316,3.582,3.778,135.691
58,0000-01-03 09:30:00,58.015,3.937,1.385,5.503,6.263,101676.22,0.112,42.766,15.249,9.462,148.373
59,0000-01-03 10:30:00,85.047,4.435,1.559,5.974,6.72,101636.405,0.122,64.958,20.09,13.35,161.899
60,0000-01-03 11:30:00,107.647,4.763,1.668,6.367,6.48,101579.724,0.138,69.967,37.68,15.122,176.038
61,0000-01-03 12:30:00,99.784,4.973,1.891,6.358,6.493,101537.742,0.134,65.737,34.047,14.613,190.322
62,0000-01-03 13:30:00,78.989,4.937,2.087,6.218,6.12,101508.709,0.294,54.83,24.158,11.873,204.236
63,0000-01-03 14:30:00,40.984,4.53,2.171,6.09,6.331,101520.415,0.346,30.246,10.738,7.146,217.403
64,0000-01-03 15:30:00,8.633,4.139,2.311,5.949,6,101535.255,0.241,7.259,1.374,0.79,229.707
65,0000-01-03 16:30:00,0.028,3.965,2.441,5.979,5.872,101548.712,0.091,0.028,0,-6.812,241.273
66,0000-01-03 17:30:00,0.033,3.86,2.559,6.13,5.835,101562.445,0.053,0.033,0,-15.288,252.405
67,0000-01-03 18:30:00,0.028,3.7,2.456,6.334,6.272,101577.008,0.148,0.028,0,-24.305,263.555
68,0000-01-03 19:30:00,0.033,3.741,2.371,6.324,6,101587.791,0.16,0.033,0,-33.522,275.352
69,0000-01-03 20:30:00,0.033,3.789,2.322,6.36,6.253,101587.56,0.053,0.033,0,-42.538,288.707
70,0000-01-03 21:30:00,0.033,3.799,2.318,6.227,6.465,101592.029,0.132,0.033,0,-50.769,304.978
71,0000-01-03 22:30:00,0.033,3.788,2.253,6.278,6.487,101595.854,0.168,0.033,0,-57.259,325.904
72,0000-01-03 23:30:00,0.028,3.641,2.224,6.191,6.567,101584.704,0.134,0.028,0,-60.588,338.81
73,0000-01-04 00:30:00,0,3.6,2.28,6.029,6.446,101566.131,0.054,0,0,-59.609,19.932
74,0000-01-04 01:30:00,0,3.652,2.308,5.795,6.06,101557.33,0.13,0,0,-54.697,43.934
75,0000-01-04 02:30:00,0.005,3.614,2.277,5.888,6.395,101535.118,0.127,0.005,0,-47.288,62.605
76,0000-01-04 03:30:00,0,3.562,2.253,5.816,6.455,101515.118,0.085,0,0,-38.617,77.391
77,0000-01-04 04:30:00,0.014,3.642,2.253,5.804,6.839,101493.873,0.155,0.014,0,-29.45,89.921
78,0000-01-04 05:30:00,0,3.618,2.268,5.964,6.216,101491.753,0.238,0,0,-20.269,101.338
79,0000-01-04 06:30:00,0,3.693,2.312,5.66,6.548,101495.212,0.117,0,0,-11.447,112.404
80,0000-01-04 07:30:00,0.182,3.699,2.365,5.453,6.258,101513.92,0.017,0.181,0,-3.296,123.688
81,0000-01-04 08:30:00,16.578,3.944,2.387,5.556,6.193,101538.805,0.053,15.993,0.585,3.818,135.551
82,0000-01-04 09:30:00,53.505,4.354,2.432,5.66,6.488,101550.14,0.041,43.092,10.415,9.52,148.237
83,0000-01-04 10:30:00,91.293,4.9,2.481,5.962,6.632,101522.583,0.015,65.494,25.8,13.427,161.771
84,0000-01-04 11:30:00,110.061,5.319,2.519,6.376,6.52,101477.1,0.034,75.175,34.886,15.218,175.924
85,0000-01-04 12:30:00,104.336,5.457,2.714,6.434,6.332,101420.693,0.027,70.761,33.576,14.724,190.252
86,0000-01-04 13:30:00,76.278,5.405,2.905,6.654,6.65,101389.126,0.08,52.375,23.902,12,204.161
87,0000-01-04 14:30:00,39.912,5.313,3.144,6.693,6.548,101391.934,0.043,30.673,9.239,7.283,217.348
88,0000-01-04 15:30:00,7.408,5.052,3.365,6.485,6.328,101399.123,0.043,6.554,0.854,0.931,229.669
89,0000-01-04 16:30:00,0.033,4.876,3.558,6.357,6.484,101419.216,0.066,0.033,0,-6.667,241.248
90,0000-01-04 17:30:00,0.028,4.697,3.755,6.267,6.336,101423.133,0.077,0.028,0,-15.142,252.389
91,0000-01-04 18:30:00,0.033,4.595,3.597,6.194,6.129,101430.276,0.107,0.033,0,-24.158,263.544
92,0000-01-04 19:30:00,0.033,4.557,3.415,6.252,6.355,101442.306,0.067,0.033,0,-33.375,275.341
93,0000-01-04 20:30:00,0.01,4.311,3.225,5.987,6.185,101449.449,0.096,0.01,0,-42.39,288.686
94,0000-01-04 21:30:00,0,4.191,3.043,5.878,5.839,101459.403,0.117,0,0,-50.625,304.93
95,0000-01-04 22:30:00,0,4.034,2.877,5.809,5.931,101465.808,0.07,0,0,-57.123,325.797
96,0000-01-04 23:30:00,0.014,4.024,2.737,5.732,6.06,101472.399,0.043,0.014,0,-60.473,338.618
97,0000-01-05 00:30:00,0.01,3.87,2.614,5.695,5.728,101465.625,0.07,0.01,0,-59.53,19.683
98,0000-01-05 01:30:00,0.005,3.696,2.478,5.197,6.285,101470.233,0.08,0.005,0,-54.652,43.689
99,0000-01-05 02:30:00,0,3.662,2.314,5.044,5.899,101467.837,0.076,0,0,-47.264,62.389
100,0000-01-05 03:30:00,0,3.706,2.177,5.159,6.226,101455.809,0.076,0,0,-38.604,77.2
101,0000-01-05 04:30:00,0,3.757,2.047,5.478,6.484,101440.003,0.107,0,0,-29.44,89.75
102,0000-01-05 05:30:00,0,3.603,1.911,5.274,6.308,101428.021,0.117,0,0,-20.256,101.179
103,0000-01-05 06:30:00,0.01,3.55,2.008,5.263,6.121,101424.242,0.147,0.01,0,-11.42,112.262
104,0000-01-05 07:30:00,0.366,3.593,2.11,5.484,7.239,101428.205,0.2,0.366,0,-3.265,123.541
105,0000-01-05 08:30:00,15.36,3.92,2.19,5.755,6.995,101428.805,0.227,14.289,1.072,3.865,135.408
106,0000-01-05 09:30:00,47.115,4.264,2.296,6.228,6.992,101425.533,0.193,39.229,7.885,9.583,148.099
107,0000-01-05 10:30:00,78.731,4.649,2.406,6.364,6.724,101398.113,0.243,58.415,20.315,13.511,161.644
108,0000-01-05 11:30:00,106.281,4.963,2.511,6.322,6.58,101339.08,0.266,63.805,42.476,15.321,175.811
109,0000-01-05 12:30:00,95.488,5.135,2.664,6.512,6.446,101301.386,0.073,66.703,28.784,14.848,190.133
110,0000-01-05 13:30:00,79.23,5.268,2.802,6.567,6.226,101285.578,0.064,53.877,25.352,12.133,204.089
111,0000-01-05 14:30:00,44.581,5.004,2.902,6.342,6.484,101288.483,0.107,32.49,12.089,7.425,217.297
112,0000-01-05 15:30:00,9.829,4.647,2.998,5.961,6.075,101293.002,0.053,8.525,1.305,1.077,229.637
113,0000-01-05 16:30:00,0.01,4.485,3.12,6.012,6.12,101299.452,0.047,0.01,0,-6.517,241.228
114,0000-01-05 17:30:00,0,4.401,3.304,5.966,6.312,101299.177,0.05,0,0,-14.991,252.379
115,0000-01-05 18:30:00,0,4.257,3.176,6.219,6.06,101302.63,0.057,0,0,-24.007,263.54
116,0000-01-05 19:30:00,0,4.242,3.049,6.143,6.471,101311.663,0.053,0,0,-33.223,275.337
117,0000-01-05 20:30:00,0,4.038,2.911,5.911,5.862,101305.396,0.09,0,0,-42.239,288.673
118,0000-01-05 21:30:00,0,3.99,2.764,5.883,5.972,101304.06,0.114,0,0,-50.475,304.89
119,0000-01-05 22:30:00,0,4.11,2.622,5.68,6.106,101298.905,0.114,0,0,-56.98,325.699
120,0000-01-05 23:30:00,0,3.944,2.475,5.82,6.032,101305.456,0.1,0,0,-60.352,338.433
121,0000-01-06 00:30:00,0,3.89,2.403,5.664,6.29,101307.207,0.143,0,0,-59.443,19.436
122,0000-01-06 01:30:00,0.014,4.014,2.34,5.662,6.455,101327.3,0.157,0.014,0,-54.598,43.441
123,0000-01-06 02:30:00,0.023,3.969,2.284,5.56,6.055,101346.93,0.09,0.023,0,-47.234,62.168
124,0000-01-06 03:30:00,0.005,3.765,2.146,5.464,5.996,101356.885,0.207,0.005,0,-38.585,77.005
125,0000-01-06 04:30:00,0.01,3.614,2.071,5.149,6.156,101368.59,0.073,0.01,0,-29.423,89.574
126,0000-01-06 05:30:00,0.005,3.671,1.952,5.101,6.4,101388.037,0.046,0.005,0,-20.237,101.017
127,0000-01-06 06:30:00,0.005,3.707,2.024,5.289,6.484,101422.553,0.016,0.005,0,-11.393,112.107
128,0000-01-06 07:30:00,0.102,3.597,2.058,5.258,6.645,101468.083,0.007,0.102,0,-3.226,123.392
129,0000-01-06 08:30:00,20.786,3.894,2.133,5.123,6.452,101511.446,0.023,17.006,3.781,3.918,135.263
130,0000-01-06 09:30:00,64.633,4.369,2.264,5.183,6.387,101551.401,0.014,47.806,16.828,9.656,147.961
131,0000-01-06 10:30:00,107.281,4.819,2.432,5.39,6.176,101553.521,0.023,70.768,36.511,13.603,161.516
132,0000-01-06 11:30:00,126.833,5.132,2.578,5.423,5.811,101529.051,0.064,77.899,48.933,15.432,175.699
133,0000-01-06 12:30:00,115.454,5.305,2.754,5.194,5.945,101507.668,0.084,76.477,38.98,14.976,190.042
134,0000-01-06 13:30:00,90.335,5.302,2.887,5.162,6.41,101506.285,0.096,59.213,31.122,12.273,204.021
135,0000-01-06 14:30:00,45.955,5.013,2.961,5.017,6.156,101517.254,0.15,34.431,11.524,7.573,217.251
136,0000-01-06 15:30:00,9.321,4.737,3.024,4.797,6.881,101517.621,0.174,8.462,0.86,1.23,229.609
137,0000-01-06 16:30:00,0.005,4.506,3.112,4.687,6.664,101527.53,0.17,0.005,0,-6.362,241.214
138,0000-01-06 17:30:00,0,4.223,3.219,4.661,6.047,101524.811,0.219,0,0,-14.834,252.375
139,0000-01-06 18:30:00,0,4.065,3.048,4.677,5.959,101530.386,0.18,0,0,-23.851,263.543
140,0000-01-06 19:30:00,0,4.075,2.902,4.689,6.608,101542.738,0.104,0,0,-33.066,275.34
141,0000-01-06 20:30:00,0,4.151,2.791,5.036,6.677,101541.585,0.134,0,0,-42.082,288.668
142,0000-01-06 21:30:00,0,4.012,2.61,4.94,6.808,101550.618,0.11,0,0,-50.319,304.859
143,0000-01-06 22:30:00,0,3.793,2.456,4.882,6.808,101562.875,0.09,0,0,-56.831,325.609
144,0000-01-06 23:30:00,0,3.901,2.345,4.89,6.738,101561.677,0.061,0,0,-60.223,338.253
145,0000-01-07 00:30:00,0,3.856,2.242,4.979,6.632,101553.198,0.046,0,0,-59.348,19.19
146,0000-01-07 01:30:00,0.005,3.898,2.164,5.004,6.586,101561.631,0.06,0.005,0,-54.537,43.191
147,0000-01-07 02:30:00,0,3.743,2.052,4.981,6.231,101564.995,0.112,0,0,-47.195,61.943
148,0000-01-07 03:30:00,0,3.663,2.017,4.807,6.714,101560.664,0.121,0,0,-38.558,76.806
149,0000-01-07 04:30:00,0,3.55,1.967,4.746,6.199,101556.424,0.09,0,0,-29.4,89.394
150,0000-01-07 05:30:00,0,3.687,1.993,4.907,6.393,101566.332,0.039,0,0,-20.211,100.851
151,0000-01-07 06:30:00,0,3.752,2.133,4.991,6.457,101576.424,0.038,0,0,-11.36,111.949
152,0000-01-07 07:30:00,0.219,3.82,2.213,5.294,6.171,101602.276,0.07,0.219,0,-3.18,123.239
153,0000-01-07 08:30:00,17.054,4.084,2.311,5.211,6.152,101632.692,0.076,15.524,1.528,3.979,135.116
154,0000-01-07 09:30:00,59.724,4.528,2.524,5.518,6.018,101654.443,0.076,45.245,14.479,9.735,147.821
155,0000-01-07 10:30:00,95.162,5.045,2.718,5.782,6.327,101647.161,0.074,69.266,25.897,13.702,161.388
156,0000-01-07 11:30:00,118.136,5.331,2.827,6.362,6.424,101633.562,0.172,75.403,42.733,15.554,175.589
157,0000-01-07 12:30:00,107.526,5.533,3.054,6.135,6.562,101591.675,0.143,77.063,30.461,15.117,189.91
158,0000-01-07 13:30:00,81.774,5.538,3.173,6.184,6.419,101582.392,0.091,61.956,19.821,12.411,203.994
159,0000-01-07 14:30:00,46.908,5.572,3.432,6.226,6.28,101628.437,0.052,36.13,10.779,7.724,217.208
160,0000-01-07 15:30:00,10.368,5.339,3.409,5.803,6.355,101615.245,0.168,8.742,1.625,1.374,229.61
161,0000-01-07 16:30:00,0.01,5.229,3.622,5.65,6.625,101648.264,0.073,0.01,0,-6.193,241.188
162,0000-01-07 17:30:00,0,5.003,3.663,5.969,6.452,101633.09,0.022,0,0,-14.693,252.401
163,0000-01-07 18:30:00,0,4.858,3.602,5.825,6.169,101658.993,0.016,0,0,-23.678,263.537
164,0000-01-07 19:30:00,0,4.73,3.35,5.896,5.586,101636.737,0.03,0,0,-32.925,275.376
165,0000-01-07 20:30:00,0,4.675,3.216,5.848,5.571,101635.736,0.033,0,0,-41.914,288.66
166,0000-01-07 21:30:00,0,4.64,3.071,5.874,5.548,101623.52,0.05,0,0,-50.159,304.837
167,0000-01-07 22:30:00,0,4.519,2.896,5.997,5.862,101615.641,0.164,0,0,-56.675,325.528
168,0000-01-07 23:30:00,0.028,4.431,2.742,6.114,6.318,101596.47,0.134,0.028,0,-60.087,338.079
169,0000-01-08 00:30:00,0.033,4.343,2.72,6.069,6.323,101575.087,0.154,0.033,0,-59.246,18.946
170,0000-01-08 01:30:00,0.033,4.206,2.671,5.973,5.894,101568.683,0.295,0.033,0,-54.469,42.939
171,0000-01-08 02:30:00,0.033,4.083,2.637,6.036,5.89,101561.216,0.162,0.033,0,-47.15,61.713
172,0000-01-08 03:30:00,0.034,3.913,2.493,5.871,5.868,101530.277,0.04,0.034,0,-38.524,76.607
173,0000-01-08 04:30:00,0.014,3.971,2.553,5.942,5.738,101533.966,0.04,0.014,0,-29.436,89.125
174,0000-01-08 05:30:00,0.033,4.173,2.555,5.866,6.507,101537.661,0.077,0.033,0,-20.155,100.711
175,0000-01-08 06:30:00,0.033,4.263,2.627,5.851,6.632,101550.479,0.08,0.033,0,-11.319,111.788
176,0000-01-08 07:30:00,0.345,4.288,2.723,5.985,6.244,101577.208,0.051,0.345,0,-3.127,123.085
177,0000-01-08 08:30:00,20.167,4.452,2.825,5.97,6.304,101613.752,0.035,18.029,2.138,4.047,134.967
178,0000-01-08 09:30:00,63.442,4.949,2.965,6.13,5.774,101632.88,0.057,49.234,14.209,9.822,147.68
179,0000-01-08 10:30:00,98.055,5.496,3.17,6.502,6.041,101632.789,0.184,70.877,27.178,13.808,161.261
180,0000-01-08 11:30:00,117.378,5.774,3.317,6.685,5.932,101611.217,0.25,79.63,37.749,15.677,175.479
181,0000-01-08 12:30:00,107.361,5.801,3.375,6.752,6.724,101587.944,0.153,78.657,28.703,15.253,189.867
182,0000-01-08 13:30:00,90.776,5.724,3.399,6.519,6.654,101583.705,0.12,63.042,27.733,12.573,203.895
183,0000-01-08 14:30:00,51.735,5.562,3.384,6.398,6.033,101595.733,0.087,39.224,12.512,7.888,217.171
184,0000-01-08 15:30:00,12.254,5.04,3.264,5.777,5.276,101612.184,0.051,10.781,1.473,1.553,229.568
185,0000-01-08 16:30:00,0.01,4.796,3.203,5.393,5.226,101618.544,0.079,0.01,0,-6.036,241.204
186,0000-01-08 17:30:00,0,4.442,3.159,5.435,5.079,101631.032,0.092,0,0,-14.51,252.386
187,0000-01-08 18:30:00,0,4.288,2.948,5.353,5.166,101636.287,0.064,0,0,-23.526,263.568
188,0000-01-08 19:30:00,0,4.261,2.739,5.012,5.244,101641.722,0.039,0,0,-32.741,275.368
189,0000-01-08 20:30:00,0,4.144,2.57,5.103,4.732,101632.276,0.011,0,0,-41.756,288.681
190,0000-01-08 21:30:00,0,4.065,2.385,5.175,4.586,101625.687,0.052,0,0,-49.993,304.823
191,0000-01-08 22:30:00,0,3.923,2.195,5.092,5.102,101611.355,0.025,0,0,-56.513,325.454
192,0000-01-08 23:30:00,0,3.829,2.059,5.063,5.695,101588.958,0.024,0,0,-59.943,337.912
193,0000-01-09 00:30:00,0,3.615,2.024,5.062,4.861,101563.843,0.056,0,0,-59.134,18.703
194,0000-01-09 01:30:00,0,3.572,1.971,5.156,5.087,101558.037,0.104,0,0,-54.391,42.685
195,0000-01-09 02:30:00,0,3.439,1.931,5.204,4.921,101530.525,0.085,0,0,-47.097,61.481
196,0000-01-09 03:30:00,0,3.386,1.938,5.286,4.742,101508.313,0.056,0,0,-38.483,76.396
197,0000-01-09 04:30:00,0,3.407,1.891,5.353,4.558,101487.024,0.035,0,0,-29.333,89.022
198,0000-01-09 05:30:00,0,3.468,1.864,5.524,4.738,101483.244,0.007,0,0,-20.139,100.507
199,0000-01-09 06:30:00,0,3.449,1.875,5.41,5.147,101487.161,0.02,0,0,-11.272,111.624
200,0000-01-09 07:30:00,0.318,3.522,1.923,5.33,5.511,101515.133,0.053,0.318,0.001,-3.067,122.927
201,0000-01-09 08:30:00,22.296,3.884,1.906,5.263,5.425,101543.935,0.035,19.08,3.215,4.122,134.817
202,0000-01-09 09:30:00,67.878,4.747,2.053,5.65,5.42,101563.014,0.049,50.549,17.33,9.916,147.538
203,0000-01-09 10:30:00,108.559,5.568,2.293,5.749,5.571,101553.613,0.03,71.743,36.816,13.922,161.133
204,0000-01-09 11:30:00,131.285,5.95,2.451,5.85,5.428,101527.76,0.064,80.358,50.928,15.811,175.37
205,0000-01-09 12:30:00,127.81,6.154,2.641,5.865,5.567,101498.865,0.147,78.765,49.045,15.401,189.784
206,0000-01-09 13:30:00,92.704,6.144,2.831,6.174,5.742,101496.102,0.187,62.057,30.648,12.733,203.838
207,0000-01-09 14:30:00,53.639,5.826,2.926,6.014,5.179,101514.069,0.18,39.348,14.29,8.054,217.138
208,0000-01-09 15:30:00,13.547,5.304,2.98,5.575,5.784,101542.06,0.131,11.529,2.018,1.722,229.555
209,0000-01-09 16:30:00,0.05,4.862,3.034,5.292,5.746,101553.673,0.239,0.05,0,-5.866,241.206
210,0000-01-09 17:30:00,0.033,4.642,3.153,5.271,5.549,101562.295,0.155,0.033,0,-14.34,252.402
211,0000-01-09 18:30:00,0.033,4.613,2.946,5.254,5.337,101565.148,0.108,0.033,0,-23.357,263.591
212,0000-01-09 19:30:00,0.033,4.561,2.748,5.315,5.483,101563.719,0.019,0.033,0,-32.572,275.393
213,0000-01-09 20:30:00,0.033,4.626,2.575,5.645,5.835,101569.018,0.04,0.033,0,-41.586,288.7
214,0000-01-09 21:30:00,0.033,4.505,2.381,5.548,5.816,101564.272,0.096,0.033,0,-49.822,304.818
215,0000-01-09 22:30:00,0.033,4.365,2.164,5.482,5.594,101560.317,0.071,0.033,0,-56.346,325.389
216,0000-01-09 23:30:00,0.028,4.066,1.907,5.237,5.535,101550.295,0.07,0.028,0,-59.791,337.75
217,0000-01-10 00:30:00,0.028,4.12,1.92,5.125,5.645,101541.723,0.082,0.028,0,-59.016,18.462
218,0000-01-10 01:30:00,0.033,4.008,1.937,4.97,5.792,101544.997,0.007,0.033,0,-54.307,42.429
219,0000-01-10 02:30:00,0.033,3.937,1.882,5.01,5.397,101539.282,0.007,0.033,0,-47.037,61.244
220,0000-01-10 03:30:00,0.033,3.926,1.87,5.025,6.009,101523.798,0,0.033,0,-38.436,76.185
221,0000-01-10 04:30:00,0.033,3.862,1.842,4.999,5.723,101517.391,0.056,0.033,0,-29.289,88.831
222,0000-01-10 05:30:00,0.033,3.803,1.807,4.847,5.709,101523.199,0.025,0.033,0,-20.092,100.33
223,0000-01-10 06:30:00,0.033,3.723,1.863,5.1,6.023,101529.926,0.037,0.033,0,-11.218,111.457
224,0000-01-10 07:30:00,0.543,3.742,1.895,4.954,5.94,101563.383,0.059,0.543,0,-3.001,122.768
225,0000-01-10 08:30:00,27.289,4.279,2.114,5.101,5.952,101589.242,0.046,19.885,7.405,4.202,134.667
226,0000-01-10 09:30:00,76.869,4.982,2.066,5.262,6.061,101620.12,0.016,53.878,22.99,10.027,147.423
227,0000-01-10 10:30:00,118.141,5.544,2.265,5.59,5.979,101615.475,0.04,76.534,41.608,14.04,160.995
228,0000-01-10 11:30:00,135.622,6.003,2.358,5.66,6.318,101590.894,0.079,82.165,53.458,15.951,175.264
229,0000-01-10 12:30:00,132.565,6.088,2.642,5.769,6.336,101567.392,0.13,83.158,49.408,15.557,189.703
230,0000-01-10 13:30:00,95.539,6.116,2.915,5.63,6.627,101567.114,0.019,71.656,23.883,12.899,203.784
231,0000-01-10 14:30:00,50.413,5.699,3.081,5.51,6.78,101579.88,0.016,43.161,7.254,8.226,217.11
232,0000-01-10 15:30:00,12.513,5.244,3.236,5.143,6.673,101597.3,0.114,10.485,2.028,1.896,229.548
233,0000-01-10 16:30:00,0.014,4.774,3.283,4.956,6.553,101648.038,0.094,0.014,0,-5.692,241.216
234,0000-01-10 17:30:00,0.033,4.736,3.646,4.926,6.308,101633.522,0.101,0.033,0,-14.16,252.414
235,0000-01-10 18:30:00,0.026,4.567,3.488,4.905,6.074,101650.727,0.101,0.026,0,-23.233,263.68
236,0000-01-10 19:30:00,0.028,4.425,3.363,4.714,6.111,101653.199,0.121,0.028,0,-32.398,275.426
237,0000-01-10 20:30:00,0.023,4.353,3.209,5.048,5.981,101659.741,0.118,0.023,0,-41.411,288.726
238,0000-01-10 21:30:00,0.023,4.197,3.092,5.144,6.373,101668.406,0.123,0.023,0,-49.646,304.821
